Transaction_ID,Date,Origin_Facility,Destination_City,Vehicle_Type,Route_Type,Distance_KM,Package_Weight_KG,Traffic_Conditions,Carbon_Emission_kgCO2e,Is_Eco_Friendly
TRX-62C04805,2025-04-09,Bandung Hub,Lake Lisaborough,Electric Van (EV),Mixed Route,31.3,19.2,Normal,1.652,1
TRX-368CEB68,2025-01-06,Surabaya Warehouse,Kathrynborough,Drone Delivery,Urban Last Mile,8.2,25.1,High,0.091,1
TRX-99C5700B,2025-01-25,Jakarta Fulfillment Center,New Samantha,Electric Van (EV),Mixed Route,134.9,23.8,High,7.634,1
TRX-E181FAAE,2025-11-14,Bandung Hub,New Roy,Cargo Bicycle,Urban Last Mile,9.1,13.3,Low,0.0,1
TRX-9DB2BCD0,2025-06-03,Bandung Hub,Lake Veronica,Diesel Van (Euro 6),Mixed Route,77.2,22.0,High,17.979,0
TRX-C2175417,2025-03-02,Jakarta Fulfillment Center,Markfurt,Diesel Van (Euro 6),Mixed Route,31.7,25.2,Severe Congestion,8.983,0
TRX-83799F60,2025-11-20,Medan Distribution,Lake Danny,Electric Van (EV),Mixed Route,19.3,12.6,Normal,0.926,1
TRX-0CB72D25,2025-08-18,Surabaya Warehouse,Faulknerfurt,Heavy Truck,Inter-City,273.6,3831.1,Low,239.731,0
TRX-29405F67,2025-10-10,Jakarta Fulfillment Center,Quinnmouth,Heavy Truck,Inter-City,294.2,4292.4,Normal,256.446,0
TRX-06C9FE3E,2025-02-24,Jakarta Fulfillment Center,Kimberlyhaven,Diesel Van (Euro 6),Mixed Route,92.1,11.7,High,24.326,0
TRX-C356610D,2025-05-29,Jakarta Fulfillment Center,Gracechester,Cargo Bicycle,Urban Last Mile,14.2,12.8,Normal,0.0,1
TRX-5789CD1E,2025-11-01,Medan Distribution,Laurafurt,Diesel Van (Euro 4),Mixed Route,103.3,9.1,Low,27.812,0
TRX-A05BCCA3,2025-05-12,Semarang Depot,Marquezport,Heavy Truck,Inter-City,713.5,1812.0,High,866.04,0
TRX-66CDE01B,2025-04-03,Makassar Port,New Karen,Diesel Van (Euro 6),Mixed Route,55.0,0.7,Normal,10.583,0
TRX-05E68719,2025-10-20,Jakarta Fulfillment Center,Charlesmouth,Diesel Van (Euro 6),Mixed Route,120.4,4.9,Normal,22.926,0
TRX-AF9804B6,2025-10-16,Surabaya Warehouse,Christinaview,Heavy Truck,Inter-City,595.4,720.6,High,693.102,0
TRX-4C025777,2025-09-26,Makassar Port,New Kimberly,Drone Delivery,Urban Last Mile,12.0,9.9,High,0.092,1
TRX-BDC5E530,2025-05-31,Surabaya Warehouse,Port Andrestad,Diesel Van (Euro 4),Mixed Route,38.9,4.9,Normal,10.457,0
TRX-1F375A41,2025-04-29,Bandung Hub,Lake Jennifer,Diesel Van (Euro 6),Mixed Route,129.3,25.5,High,29.711,0
TRX-155D591F,2025-07-16,Semarang Depot,Williamton,Electric Van (EV),Mixed Route,57.0,17.5,High,2.937,1
TRX-3BA1057F,2025-03-27,Surabaya Warehouse,Mcdonaldside,Electric Van (EV),Mixed Route,137.6,9.3,Normal,6.619,1
TRX-D1B82A8F,2025-09-22,Medan Distribution,Port Richard,Diesel Van (Euro 6),Mixed Route,147.2,20.7,Severe Congestion,46.473,0
TRX-8E4C898D,2025-09-27,Makassar Port,Port Eric,Heavy Truck,Inter-City,102.1,1296.7,Normal,90.192,0
TRX-A51148ED,2025-02-06,Jakarta Fulfillment Center,Cooktown,Diesel Van (Euro 6),Mixed Route,38.2,8.2,High,8.788,0
TRX-9ACB5BAE,2025-04-25,Jakarta Fulfillment Center,Barrystad,Drone Delivery,Urban Last Mile,9.1,3.5,Severe Congestion,0.056,1
TRX-33926D60,2025-01-15,Semarang Depot,Mcguirefurt,Electric Van (EV),Mixed Route,27.8,12.5,Normal,1.315,1
TRX-320DF33B,2025-12-31,Bandung Hub,South Bryan,Diesel Van (Euro 4),Mixed Route,127.5,14.3,Normal,34.022,0
TRX-19ED82DB,2025-02-12,Makassar Port,New Zachary,Electric Van (EV),Mixed Route,135.3,19.2,Normal,6.669,1
TRX-E8BF8FA2,2025-02-18,Bandung Hub,Danielburgh,Drone Delivery,Urban Last Mile,4.8,5.7,Normal,0.029,1
TRX-B746D1CE,2025-04-04,Semarang Depot,Moralesstad,Diesel Van (Euro 6),Mixed Route,85.5,2.3,Severe Congestion,27.252,0
TRX-5AD32D48,2025-08-18,Jakarta Fulfillment Center,Howardchester,Diesel Van (Euro 4),Mixed Route,120.6,0.8,High,44.196,0
TRX-62E89976,2025-09-22,Jakarta Fulfillment Center,Sloanburgh,Electric Van (EV),Mixed Route,147.9,16.3,High,7.062,1
TRX-2364111A,2025-03-11,Medan Distribution,Lake Marytown,Heavy Truck,Inter-City,290.5,4443.5,Normal,280.364,0
TRX-F8D2AC6C,2025-05-11,Semarang Depot,Janeberg,Electric Van (EV),Mixed Route,46.2,17.7,Normal,2.292,1
TRX-9C4A49F2,2025-03-06,Medan Distribution,Lake Bethtown,Heavy Truck,Inter-City,505.1,1431.3,High,564.941,0
TRX-7F9C1311,2025-07-02,Jakarta Fulfillment Center,Russellland,Motorcycle (Courier),Inter-District,11.6,16.0,High,1.429,0
TRX-A599FF0B,2025-01-07,Semarang Depot,South Jaclyn,Diesel Van (Euro 4),Mixed Route,113.3,5.8,Low,27.883,0
TRX-5E38D97B,2025-03-24,Surabaya Warehouse,Lopezberg,Diesel Van (Euro 6),Mixed Route,123.6,18.0,High,29.002,0
TRX-3D77BA79,2025-11-22,Makassar Port,South Justin,Electric Van (EV),Mixed Route,11.9,2.3,High,0.654,1
TRX-F96BFBB4,2025-07-11,Bandung Hub,Andrewton,Diesel Van (Euro 6),Mixed Route,147.0,29.6,Low,25.132,0
TRX-EC713B52,2025-11-17,Medan Distribution,Sherriland,Motorcycle (Courier),Inter-District,28.8,11.8,High,3.554,0
TRX-7B043C49,2025-09-05,Jakarta Fulfillment Center,Port Timothychester,Heavy Truck,Inter-City,758.8,1975.7,Low,564.955,0
TRX-0FBD2205,2025-10-04,Makassar Port,Kaufmanland,Heavy Truck,Inter-City,609.8,2175.9,High,748.905,0
TRX-7470B656,2025-01-29,Jakarta Fulfillment Center,New Yvonneshire,Diesel Van (Euro 4),Mixed Route,142.1,13.1,Normal,42.804,0
TRX-831A58B1,2025-10-20,Jakarta Fulfillment Center,East Edwardmouth,Diesel Van (Euro 4),Mixed Route,126.3,23.1,High,46.481,0
TRX-DF8E6FEF,2025-05-26,Medan Distribution,Lake Justinmouth,Heavy Truck,Inter-City,770.4,2496.5,Normal,660.577,0
TRX-F3A8F688,2025-10-07,Jakarta Fulfillment Center,East Deborahborough,Heavy Truck,Inter-City,584.0,4937.9,Low,518.069,0
TRX-86A953EC,2025-08-20,Jakarta Fulfillment Center,South Kyleville,Diesel Van (Euro 6),Mixed Route,11.1,2.4,Low,1.856,0
TRX-F3FA2E21,2025-07-10,Medan Distribution,Morrisshire,Electric Van (EV),Mixed Route,115.7,24.3,Severe Congestion,6.08,1
TRX-0AFC04F8,2025-07-17,Medan Distribution,Kingport,Electric Van (EV),Mixed Route,121.1,6.1,Normal,5.854,1
TRX-F9848722,2025-02-15,Jakarta Fulfillment Center,Stephaniechester,Heavy Truck,Inter-City,117.8,3984.2,Normal,116.236,0
TRX-8B5DA5F4,2025-04-19,Makassar Port,Garciamouth,Cargo Bicycle,Urban Last Mile,10.6,18.5,High,0.0,1
TRX-B0C7361C,2025-04-15,Makassar Port,East Donna,Heavy Truck,Inter-City,475.8,620.9,Normal,392.914,0
TRX-7A256E8C,2025-01-14,Bandung Hub,Shanemouth,Drone Delivery,Urban Last Mile,14.5,4.7,Low,0.087,1
TRX-912F7775,2025-01-14,Semarang Depot,Ericbury,Motorcycle (Courier),Inter-District,26.2,20.9,Severe Congestion,4.342,0
TRX-DEA76C1D,2025-03-21,Medan Distribution,Adkinsmouth,Cargo Bicycle,Urban Last Mile,13.2,3.4,Low,0.0,1
TRX-8897A3E1,2025-06-30,Jakarta Fulfillment Center,Whiteberg,Electric Van (EV),Mixed Route,130.2,17.2,Normal,6.45,1
TRX-6D3F5833,2025-09-19,Makassar Port,New Lindaview,Cargo Bicycle,Urban Last Mile,14.0,17.6,High,0.0,1
TRX-2064B7C3,2025-03-10,Jakarta Fulfillment Center,North Dariusmouth,Electric Van (EV),Mixed Route,103.4,6.3,High,5.814,1
TRX-778B402B,2025-03-21,Surabaya Warehouse,South Mollyton,Drone Delivery,Urban Last Mile,12.5,17.6,High,0.111,1
TRX-4D79178F,2025-07-09,Bandung Hub,Harringtonhaven,Diesel Van (Euro 4),Mixed Route,101.4,16.7,Low,25.204,0
TRX-0FE80179,2025-07-14,Semarang Depot,Justinside,Heavy Truck,Inter-City,798.3,2621.7,Normal,737.805,0
TRX-98A36440,2025-03-17,Jakarta Fulfillment Center,Trevorview,Cargo Bicycle,Urban Last Mile,4.9,14.0,Low,0.0,1
TRX-89051210,2025-11-28,Medan Distribution,Port Hayleyfurt,Motorcycle (Courier),Inter-District,34.6,9.5,High,4.185,0
TRX-C08EA9B0,2025-10-11,Bandung Hub,Port Veronica,Diesel Van (Euro 4),Mixed Route,77.7,7.8,Low,18.728,0
TRX-6C96C4FC,2025-07-21,Medan Distribution,Hendersonfort,Heavy Truck,Inter-City,583.8,3294.5,High,708.031,0
TRX-5F025B38,2025-08-02,Makassar Port,North Christopherton,Cargo Bicycle,Urban Last Mile,8.8,0.9,High,0.0,1
TRX-FDFD3051,2025-05-05,Surabaya Warehouse,Levinehaven,Cargo Bicycle,Urban Last Mile,4.9,28.8,Severe Congestion,0.0,1
TRX-7D8EA133,2025-12-05,Semarang Depot,Summersmouth,Diesel Van (Euro 4),Mixed Route,57.8,14.2,Low,14.145,0
TRX-9C11338B,2025-08-09,Medan Distribution,Lake Lawrencestad,Electric Van (EV),Mixed Route,91.4,26.9,High,4.968,1
TRX-808AF170,2025-04-23,Jakarta Fulfillment Center,New Gabriela,Diesel Van (Euro 6),Mixed Route,100.7,29.1,High,24.089,0
TRX-C905CC57,2025-10-23,Medan Distribution,Hooperfurt,Heavy Truck,Inter-City,759.5,4300.7,High,975.593,0
TRX-433D1F9E,2025-02-13,Jakarta Fulfillment Center,Heatherland,Drone Delivery,Urban Last Mile,8.3,22.5,High,0.087,1
TRX-69BC5D6A,2025-03-16,Makassar Port,Andreabury,Heavy Truck,Inter-City,266.4,1139.8,Low,215.262,0
TRX-593B2AD8,2025-04-14,Bandung Hub,Matthewberg,Electric Van (EV),Mixed Route,118.7,2.4,Normal,6.192,1
TRX-61B56F14,2025-11-12,Semarang Depot,Josechester,Diesel Van (Euro 6),Mixed Route,40.7,17.9,High,9.502,0
TRX-DE947557,2025-06-24,Makassar Port,New Sarah,Drone Delivery,Urban Last Mile,13.7,24.0,Normal,0.139,1
TRX-A7DCA66B,2025-08-22,Bandung Hub,Port Danastad,Diesel Van (Euro 4),Mixed Route,85.9,22.3,High,32.144,0
TRX-E9CA7FD8,2025-08-13,Medan Distribution,Schmittfurt,Drone Delivery,Urban Last Mile,2.2,13.7,Normal,0.018,1
TRX-22F6DFB2,2025-12-18,Jakarta Fulfillment Center,Meyersmouth,Electric Van (EV),Mixed Route,50.5,6.2,Normal,2.543,1
TRX-E36BB9FE,2025-07-07,Semarang Depot,New Richardfort,Diesel Van (Euro 6),Mixed Route,79.3,6.9,Normal,14.479,0
TRX-597171FC,2025-02-14,Jakarta Fulfillment Center,Thompsonhaven,Cargo Bicycle,Urban Last Mile,11.3,17.7,Normal,0.0,1
TRX-07557B2E,2026-01-02,Jakarta Fulfillment Center,Garciachester,Drone Delivery,Urban Last Mile,9.5,16.9,High,0.082,1
TRX-62742B96,2025-09-28,Semarang Depot,North Angela,Drone Delivery,Urban Last Mile,3.7,15.1,High,0.031,1
TRX-9356005B,2025-01-07,Bandung Hub,Houseland,Cargo Bicycle,Urban Last Mile,5.8,17.0,High,0.0,1
TRX-5B8D20A5,2025-03-20,Medan Distribution,West Brendabury,Diesel Van (Euro 6),Mixed Route,132.5,19.0,High,36.628,0
TRX-9193BE62,2025-02-09,Makassar Port,Castillofurt,Cargo Bicycle,Urban Last Mile,6.3,29.8,High,0.0,1
TRX-1E5CF585,2025-03-01,Semarang Depot,Castrobury,Cargo Bicycle,Urban Last Mile,3.3,23.4,Low,0.0,1
TRX-A264042D,2025-07-19,Bandung Hub,Riddlechester,Electric Van (EV),Mixed Route,14.2,1.3,High,0.842,1
TRX-45C8AE89,2025-05-05,Bandung Hub,West Kristenfurt,Heavy Truck,Inter-City,442.9,1117.5,Low,335.786,0
TRX-0CE1059C,2025-12-25,Makassar Port,New Tonya,Drone Delivery,Urban Last Mile,10.9,2.7,Normal,0.061,1
TRX-28E8C1DF,2025-08-29,Jakarta Fulfillment Center,Derekview,Diesel Van (Euro 6),Mixed Route,107.2,12.8,Severe Congestion,31.526,0
TRX-EC24F5B8,2025-09-25,Bandung Hub,Port Jamesshire,Electric Van (EV),Mixed Route,34.0,2.7,Normal,1.735,1
TRX-B18FC348,2025-07-16,Semarang Depot,Whitetown,Drone Delivery,Urban Last Mile,3.8,13.7,High,0.033,1
TRX-417EB45F,2025-12-28,Bandung Hub,Bruceburgh,Heavy Truck,Inter-City,234.9,3661.6,High,288.068,0
TRX-91AF788F,2025-01-09,Surabaya Warehouse,Whitemouth,Electric Van (EV),Mixed Route,60.2,29.4,Severe Congestion,3.556,1
TRX-1080E2A5,2025-08-24,Medan Distribution,Lake Craigshire,Motorcycle (Courier),Inter-District,5.3,17.5,High,0.694,0
TRX-7597B0AA,2025-07-28,Jakarta Fulfillment Center,New Nathan,Motorcycle (Courier),Inter-District,22.2,4.3,High,2.885,0
TRX-BAED94B5,2025-09-13,Semarang Depot,Bakertown,Diesel Van (Euro 4),Mixed Route,25.2,24.3,Normal,7.06,0
TRX-46A1881A,2025-10-04,Medan Distribution,Lake Carol,Heavy Truck,Inter-City,397.8,3418.4,Normal,407.174,0
TRX-11079266,2025-11-02,Bandung Hub,Martinezton,Diesel Van (Euro 4),Mixed Route,103.7,10.1,Severe Congestion,45.774,0
TRX-1CC06D13,2025-02-08,Makassar Port,South Timothy,Electric Van (EV),Mixed Route,111.9,24.9,High,5.674,1
TRX-9E0F688B,2025-08-17,Makassar Port,South Erikaton,Motorcycle (Courier),Inter-District,24.8,28.9,Normal,2.592,0
TRX-33C5A40C,2025-10-01,Medan Distribution,Johnborough,Electric Van (EV),Mixed Route,117.2,5.3,Low,6.231,1
TRX-3005C323,2025-10-06,Surabaya Warehouse,North Martha,Heavy Truck,Inter-City,515.6,1898.0,Low,428.58,0
TRX-FF52DA44,2025-01-26,Makassar Port,New Jasonhaven,Diesel Van (Euro 4),Mixed Route,92.6,2.1,Low,24.934,0
TRX-FFB2D053,2025-07-17,Semarang Depot,Williamfort,Drone Delivery,Urban Last Mile,4.9,16.7,Severe Congestion,0.047,1
TRX-B99B7E90,2025-03-01,Medan Distribution,West Katie,Cargo Bicycle,Urban Last Mile,11.0,10.3,Normal,0.0,1
TRX-B93A8AD1,2025-06-24,Medan Distribution,North Johnnybury,Heavy Truck,Inter-City,457.5,2826.5,Low,359.718,0
TRX-869CE160,2025-04-17,Surabaya Warehouse,East Johnmouth,Heavy Truck,Inter-City,589.9,4363.4,Normal,587.657,0
TRX-F0EB80C1,2026-01-03,Medan Distribution,North Briannafurt,Diesel Van (Euro 4),Mixed Route,121.1,4.8,Severe Congestion,46.068,0
TRX-033CC4DF,2025-02-23,Medan Distribution,Georgestad,Drone Delivery,Urban Last Mile,9.0,25.1,Severe Congestion,0.098,1
TRX-11E92A5F,2025-10-28,Medan Distribution,North Amber,Diesel Van (Euro 4),Mixed Route,25.3,24.9,Normal,7.049,0
TRX-495AD21A,2025-01-23,Jakarta Fulfillment Center,Codyhaven,Drone Delivery,Urban Last Mile,10.5,1.6,Normal,0.057,1
TRX-95EA4CE4,2025-06-29,Medan Distribution,South Gordonchester,Heavy Truck,Inter-City,131.1,1352.9,High,154.299,0
TRX-12900141,2025-08-11,Semarang Depot,Gibbsbury,Drone Delivery,Urban Last Mile,11.5,29.0,High,0.142,1
TRX-7BC8DFF8,2025-03-02,Jakarta Fulfillment Center,Andersonton,Heavy Truck,Inter-City,675.4,2085.2,Normal,623.022,0
TRX-26123992,2025-12-03,Surabaya Warehouse,Lake Kathleenmouth,Diesel Van (Euro 4),Mixed Route,63.4,13.9,Low,17.008,0
TRX-631F15DE,2025-04-11,Makassar Port,Harrisville,Motorcycle (Courier),Inter-District,21.1,16.9,Low,1.878,0
TRX-7C835919,2025-08-29,Bandung Hub,Grahamside,Motorcycle (Courier),Inter-District,35.2,6.0,High,4.056,0
TRX-E38EE084,2025-04-24,Medan Distribution,Hernandezburgh,Electric Van (EV),Mixed Route,123.4,28.1,Normal,6.613,1
TRX-F1F0F282,2025-12-26,Semarang Depot,Elizabethstad,Heavy Truck,Inter-City,276.8,716.4,Normal,237.106,0
TRX-A9F1D830,2025-07-21,Bandung Hub,Lake Shirleyfurt,Electric Van (EV),Mixed Route,63.7,17.5,Severe Congestion,3.431,1
TRX-B399482E,2025-04-30,Surabaya Warehouse,Conwayview,Motorcycle (Courier),Inter-District,32.8,29.8,Normal,3.487,0
TRX-90DA8C57,2025-12-17,Semarang Depot,West Joseph,Heavy Truck,Inter-City,168.9,4822.2,Normal,163.655,0
TRX-A03DD16D,2025-03-11,Makassar Port,Rebeccaborough,Diesel Van (Euro 4),Mixed Route,107.7,7.5,Normal,31.034,0
TRX-84B895D5,2025-10-22,Semarang Depot,East Kevinville,Diesel Van (Euro 4),Mixed Route,95.9,22.9,High,35.651,0
TRX-484C96E6,2025-08-14,Medan Distribution,South Kathrynland,Diesel Van (Euro 4),Mixed Route,13.4,26.7,Low,3.223,0
TRX-0FFE9BC9,2025-07-16,Makassar Port,Wesleyburgh,Diesel Van (Euro 6),Mixed Route,109.6,12.8,High,26.711,0
TRX-41067F7F,2025-01-14,Makassar Port,Griffintown,Motorcycle (Courier),Inter-District,34.6,8.1,High,4.407,0
TRX-913BA3E6,2025-03-26,Surabaya Warehouse,Lake Lindaland,Diesel Van (Euro 4),Mixed Route,125.0,3.2,High,43.915,0
TRX-CA9B9D17,2025-08-18,Makassar Port,New Matthewstad,Diesel Van (Euro 4),Mixed Route,63.8,22.4,High,23.966,0
TRX-46992062,2025-11-21,Medan Distribution,South Norma,Diesel Van (Euro 4),Mixed Route,138.7,4.9,Low,37.052,0
TRX-E179DCE4,2025-05-02,Bandung Hub,Ortegaville,Diesel Van (Euro 4),Mixed Route,82.5,14.5,Normal,23.741,0
TRX-4EB6AA7F,2025-10-26,Makassar Port,North Andrea,Motorcycle (Courier),Inter-District,23.0,17.0,Low,2.159,0
TRX-BBBA0901,2025-06-19,Jakarta Fulfillment Center,West Perryview,Heavy Truck,Inter-City,485.1,1246.7,Normal,412.549,0
TRX-8E3EE6DD,2025-03-18,Medan Distribution,Rodriguezville,Heavy Truck,Inter-City,644.7,4306.4,Normal,627.117,0
TRX-10A6953E,2025-01-23,Bandung Hub,Foxland,Diesel Van (Euro 6),Mixed Route,101.2,28.8,Normal,20.118,0
TRX-0B6A5530,2025-02-16,Bandung Hub,Lake Tommyborough,Drone Delivery,Urban Last Mile,10.5,22.6,Normal,0.108,1
TRX-8DF2A746,2025-12-16,Medan Distribution,West Cynthia,Heavy Truck,Inter-City,414.3,2785.5,Normal,396.416,0
TRX-1BE0502B,2025-12-13,Surabaya Warehouse,Robertsonmouth,Cargo Bicycle,Urban Last Mile,14.1,8.7,Normal,0.0,1
TRX-544DD339,2025-11-18,Medan Distribution,Rodneychester,Diesel Van (Euro 4),Mixed Route,19.3,4.2,Normal,5.474,0
TRX-1B425630,2025-06-26,Jakarta Fulfillment Center,Ryanstad,Motorcycle (Courier),Inter-District,7.0,16.7,High,0.902,0
TRX-AD9558EE,2025-04-12,Makassar Port,Angelafurt,Diesel Van (Euro 6),Mixed Route,115.1,12.8,Low,19.249,0
TRX-3B51CB78,2025-05-14,Bandung Hub,West Dawnmouth,Motorcycle (Courier),Inter-District,24.8,22.2,Normal,2.485,0
TRX-1B7B3D59,2025-11-11,Surabaya Warehouse,Port Cherylview,Diesel Van (Euro 4),Mixed Route,41.9,25.7,High,15.25,0
TRX-6A15A24D,2025-03-12,Surabaya Warehouse,South Leslie,Electric Van (EV),Mixed Route,61.3,4.8,Normal,3.054,1
TRX-488056FF,2025-02-08,Makassar Port,Priceview,Cargo Bicycle,Urban Last Mile,5.7,13.9,High,0.0,1
TRX-29739A27,2025-02-16,Surabaya Warehouse,Lake Jennifer,Drone Delivery,Urban Last Mile,13.6,19.9,High,0.122,1
TRX-906C5DAD,2025-04-22,Medan Distribution,Jenniferburgh,Drone Delivery,Urban Last Mile,3.7,29.5,Low,0.04,1
TRX-1609CA39,2025-10-09,Surabaya Warehouse,Ellisview,Motorcycle (Courier),Inter-District,36.8,25.1,High,5.33,0
TRX-0C8A67A5,2025-01-19,Bandung Hub,New Robin,Heavy Truck,Inter-City,132.0,4020.6,High,175.846,0
TRX-71912385,2025-05-24,Semarang Depot,North Rebecca,Motorcycle (Courier),Inter-District,21.6,3.2,High,2.605,0
TRX-1E31430F,2025-05-24,Jakarta Fulfillment Center,Port Stephen,Heavy Truck,Inter-City,231.4,2169.1,Normal,224.076,0
TRX-47F8E0D9,2025-02-08,Jakarta Fulfillment Center,Perezmouth,Diesel Van (Euro 6),Mixed Route,85.3,15.0,Low,13.803,0
TRX-AE7C8AB6,2025-02-03,Surabaya Warehouse,West Davidside,Heavy Truck,Inter-City,453.3,987.9,Normal,392.575,0
TRX-CA966B0C,2025-05-18,Surabaya Warehouse,Anaville,Cargo Bicycle,Urban Last Mile,3.7,23.8,High,0.0,1
TRX-F3A86DC3,2025-09-15,Makassar Port,Klinefort,Electric Van (EV),Mixed Route,24.6,12.7,Low,1.077,1
TRX-8A8CED6D,2025-10-06,Jakarta Fulfillment Center,Christopherview,Heavy Truck,Inter-City,441.2,4319.3,High,562.875,0
TRX-79E6723E,2025-08-28,Makassar Port,Leeshire,Heavy Truck,Inter-City,183.2,4564.2,Normal,174.782,0
TRX-8C224360,2025-03-11,Surabaya Warehouse,Paulamouth,Drone Delivery,Urban Last Mile,3.7,1.1,High,0.022,1
TRX-0E78FC81,2025-02-25,Jakarta Fulfillment Center,New Alan,Drone Delivery,Urban Last Mile,13.2,6.5,High,0.088,1
TRX-7486DD6B,2025-12-10,Jakarta Fulfillment Center,South Raymond,Heavy Truck,Inter-City,483.7,2207.3,Normal,454.045,0
TRX-8C689EDA,2025-11-19,Medan Distribution,Watkinstown,Drone Delivery,Urban Last Mile,13.2,27.3,Normal,0.138,1
TRX-FECEAEF0,2025-07-29,Makassar Port,Port Michelleview,Electric Van (EV),Mixed Route,103.9,19.1,High,5.632,1
TRX-32A0A7A8,2025-08-29,Jakarta Fulfillment Center,Gibbsside,Diesel Van (Euro 4),Mixed Route,76.2,17.2,Normal,20.433,0
TRX-7840EDD3,2025-02-24,Makassar Port,Solomonton,Diesel Van (Euro 4),Mixed Route,139.5,29.9,Low,34.029,0
TRX-E36D958C,2025-05-07,Surabaya Warehouse,Lindafurt,Cargo Bicycle,Urban Last Mile,9.1,20.4,Low,0.0,1
TRX-0CB0A29F,2025-02-01,Medan Distribution,Ruizhaven,Diesel Van (Euro 4),Mixed Route,42.9,20.0,Severe Congestion,19.831,0
TRX-D0879C1F,2025-09-04,Bandung Hub,South Alicia,Diesel Van (Euro 4),Mixed Route,87.5,25.3,High,32.819,0
TRX-6AB96999,2025-09-04,Surabaya Warehouse,Alexanderbury,Heavy Truck,Inter-City,317.1,3468.8,High,405.557,0
TRX-5933CB53,2025-01-12,Semarang Depot,Russellville,Drone Delivery,Urban Last Mile,10.1,27.7,Normal,0.099,1
TRX-88CAEC25,2025-01-13,Semarang Depot,Gilberthaven,Diesel Van (Euro 6),Mixed Route,19.2,26.5,Normal,3.84,0
TRX-7AFD0C7D,2025-11-17,Bandung Hub,South Michaelmouth,Diesel Van (Euro 4),Mixed Route,11.7,5.6,Low,2.911,0
TRX-01C790F3,2025-11-28,Makassar Port,West Scott,Diesel Van (Euro 6),Mixed Route,43.8,23.4,High,11.177,0
TRX-49B0BA92,2025-09-26,Semarang Depot,New Robertburgh,Cargo Bicycle,Urban Last Mile,13.7,21.5,Severe Congestion,0.0,1
TRX-94B56C67,2025-08-26,Surabaya Warehouse,Brookstown,Drone Delivery,Urban Last Mile,7.2,20.4,Normal,0.07,1
TRX-B4644412,2025-08-24,Surabaya Warehouse,Mooreport,Diesel Van (Euro 6),Mixed Route,21.1,29.2,Severe Congestion,6.487,0
TRX-F420756A,2025-03-16,Surabaya Warehouse,Josephburgh,Diesel Van (Euro 4),Mixed Route,62.1,22.4,Normal,17.775,0
TRX-1CC77650,2025-10-05,Bandung Hub,East Aliciatown,Cargo Bicycle,Urban Last Mile,5.8,4.7,High,0.0,1
TRX-ECEAAD2E,2025-08-21,Makassar Port,North Jonathanfort,Heavy Truck,Inter-City,223.7,3481.5,Normal,199.122,0
TRX-2ED569A2,2025-11-14,Bandung Hub,Port Brad,Diesel Van (Euro 6),Mixed Route,31.0,27.0,Normal,5.654,0
TRX-5357C0CF,2025-05-11,Semarang Depot,Port Danielton,Electric Van (EV),Mixed Route,80.9,29.8,Normal,3.89,1
TRX-370BD562,2025-03-03,Medan Distribution,Lake Tricia,Heavy Truck,Inter-City,189.2,1321.5,Normal,165.45,0
TRX-D6239E04,2025-02-02,Semarang Depot,Wilsonmouth,Heavy Truck,Inter-City,170.4,1592.2,High,191.869,0
TRX-6DE9FEA9,2025-12-05,Jakarta Fulfillment Center,Morrisstad,Drone Delivery,Urban Last Mile,6.0,10.0,Normal,0.043,1
TRX-A72AFF68,2025-11-21,Surabaya Warehouse,Port Haleyfurt,Diesel Van (Euro 6),Mixed Route,40.4,15.4,Severe Congestion,12.049,0
TRX-FCE51070,2025-04-06,Makassar Port,North Michaelshire,Electric Van (EV),Mixed Route,142.2,24.0,High,7.286,1
TRX-DA2CBADD,2025-06-23,Bandung Hub,Port Misty,Drone Delivery,Urban Last Mile,11.6,7.6,Normal,0.072,1
TRX-81E9146D,2025-01-10,Medan Distribution,Lake Nancyburgh,Heavy Truck,Inter-City,265.4,4825.9,High,295.565,0
TRX-D8A12EC5,2025-01-09,Makassar Port,North Nancy,Motorcycle (Courier),Inter-District,10.1,11.0,Normal,0.944,0
TRX-A49F99F4,2025-04-20,Medan Distribution,Christyport,Diesel Van (Euro 6),Mixed Route,51.2,29.9,Low,8.644,0
TRX-778D1E7A,2025-01-24,Semarang Depot,Port Christineside,Cargo Bicycle,Urban Last Mile,14.3,16.2,Normal,0.0,1
TRX-B08EC778,2025-05-05,Semarang Depot,South Kimberlystad,Diesel Van (Euro 6),Mixed Route,66.3,11.5,Low,11.327,0
TRX-8AE99D02,2025-05-31,Semarang Depot,South Joseborough,Diesel Van (Euro 6),Mixed Route,11.8,17.6,High,2.923,0
TRX-068B4196,2025-05-21,Semarang Depot,South Jeremy,Drone Delivery,Urban Last Mile,11.9,21.5,High,0.121,1
TRX-E6B33C63,2025-01-22,Medan Distribution,Thomasside,Motorcycle (Courier),Inter-District,32.3,8.5,Severe Congestion,5.024,0
TRX-5415DD5E,2025-07-17,Bandung Hub,Autumnburgh,Diesel Van (Euro 6),Mixed Route,146.4,21.1,High,36.926,0
TRX-D58BEB52,2025-05-11,Semarang Depot,Lake Audrey,Diesel Van (Euro 4),Mixed Route,106.5,21.6,High,41.074,0
TRX-FB58ADB4,2025-02-28,Semarang Depot,Lake Crystalshire,Cargo Bicycle,Urban Last Mile,12.2,13.0,Normal,0.0,1
